29,152,103,58
38,64,127,93
49,56,100,129
115,111,86,37
126,59,142,118
92,187,98,177
20,150,67,21
100,176,157,36
187,132,154,139
43,124,105,10
116,166,177,191
77,167,47,122
170,94,102,1
82,102,126,196
165,164,18,184
25,195,140,74
185,147,134,163
70,148,174,101
138,166,59,93
119,13,4,40
54,68,119,73
142,60,172,20
154,138,24,108
114,141,25,55
173,28,35,110
123,191,167,106
18,55,164,95
90,146,126,90
108,95,116,152
146,48,188,112
192,130,45,123
149,83,174,87
90,1,3,91
50,195,120,14
88,69,107,47
32,56,31,9
23,111,52,193
60,8,113,18
179,173,52,149
30,6,24,84
62,67,125,133
159,33,193,190
81,190,160,73
30,61,138,132
186,27,176,191
132,96,73,33
8,130,4,37
5,27,96,9
175,39,189,70
109,78,157,22
140,150,97,21
180,124,24,125
137,58,137,107
89,196,174,141
133,170,148,87
53,37,106,185
71,159,64,157
153,194,176,14
23,29,107,158
190,34,103,116
4,38,129,101
6,148,185,5
118,63,81,169
60,93,112,127
117,95,31,176
80,77,171,80
192,96,121,2
17,6,46,188
58,133,11,3
133,183,17,22
155,56,167,193
156,68,128,38
167,134,99,67
62,54,72,158
29,16,178,85
120,119,135,17
46,23,122,53
44,162,158,190
177,2,109,51
171,157,145,35
66,186,151,187
15,180,36,96
85,195,177,144
89,43,172,81
129,74,28,135
47,137,1,24
22,1,170,155
114,150,63,179
41,52,191,40
28,123,105,65
120,59,41,147
80,65,178,75
13,27,4,87
75,175,105,26
94,85,91,111
138,74,100,159
57,164,57,110
85,13,93,130
184,8,7,160
143,20,86,38
163,182,39,98
106,101,99,193
122,182,11,7
72,53,182,42
110,161,150,112
89,155,84,162
37,36,16,78
113,131,16,143
39,91,33,57
164,115,44,86
127,66,42,178
82,172,48,181
183,154,170,189
15,53,72,25
19,189,128,43
168,99,141,154
8,151,159,161
28,145,195,128
79,65,88,194
171,114,54,50
17,174,10,62
135,166,81,139
63,19,188,76
34,153,146,181
77,35,115,51
160,40,130,145
46,114,156,182
162,75,59,60
120,91,118,113
185,21,172,124
48,156,14,107
41,7,86,117
69,165,117,83
153,43,192,92
106,168,71,97
12,82,184,42
10,26,141,131
70,126,30,186
87,183,92,95
36,122,41,10
5,14,94,19
20,131,134,76
108,33,64,42
50,31,178,136
32,128,88,110
61,51,69,52
11,184,32,179
112,75,66,161
158,2,39,61
144,84,152,49
149,76,54,113
31,62,169,121
94,21,121,23
155,13,109,131
88,139,192,103
171,78,97,194
92,173,105,49
45,25,180,49
147,34,163,152
144,44,162,6
147,145,183,72
35,71,175,98
65,165,46,181
12,83,140,45
100,97,61,71
50,168,9,165
3,26,15,104
146,34,139,27
9,32,196,12
161,56,80,116
68,136,151,82
79,173,30,169
142,101,189,156
125,79,57,29
44,143,22,163
118,104,187,125
180,58,119,19
137,98,40,102
89,7,136,55
115,104,12,166
720
