58,42,44,22,50,42
13,29,47,4,2,33
25,45,4,12,46,27
6,27,31,20,45,49
20,29,5,10,55,16
7,8,29,38,35,33
8,1,29,28,43,10
46,48,34,5,57,40
14,47,14,60,53,30
6,53,54,17,16,25
49,18,10,41,58,50
55,46,48,25,44,43
60,38,12,30,43,44
59,26,32,30,37,18
19,34,49,7,57,14
59,57,31,42,24,41
42,26,43,17,2,32
23,43,47,13,53,44
16,58,38,33,3,31
40,16,26,38,26,24
18,12,24,55,25,59
37,19,9,53,38,3
61,11,44,32,54,61
30,1,3,44,45,31
13,15,59,51,41,6
15,48,58,56,27,35
2,8,5,22,36,34
20,23,56,49,61,4
21,50,41,27,12,39
34,23,34,24,30,49
28,32,2,54,37,11
5,29,50,4,26,35
52,40,45,41,51,2
18,1,20,58,20,60
57,26,13,5,49,54
55,45,35,33,25,19
42,15,46,41,45,33
61,19,54,15,14,9
52,49,17,7,6,1
3,21,51,20,9,8
28,51,27,56,17,22
52,11,60,35,9,42
40,15,50,22,38,29
53,28,3,19,53,10
39,57,56,50,47,56
48,8,57,10,33,51
42,18,31,11,21,47
22,6,23,37,4,12
16,52,14,1,21,19
58,15,43,16,9,41
46,30,27,13,46,24
1,32,34,10,14,12
2,7,34,46,60,25
36,40,39,59,3,50
21,5,31,22,55,17
40,35,39,11,23,7
6,8,52,9,48,61
60,23,36,4,24,11
59,55,37,47,37,45
39,28,21,39,48,51
43,56,18,36,7,36
61,17,54,28,36,51
40,13,48,31,32,52
378
