63,29,11,25
19,53,50,80
40,68,76,75
33,27,56,74
70,1,40,10
8,18,40,76
15,14,32,81
45,67,72,71
23,17,44,15
44,50,26,73
60,75,54,24
79,52,9,26
25,41,63,69
12,68,46,13
41,20,9,6
55,24,7,34
36,29,41,66
7,3,59,33
38,16,73,74
47,26,73,2
22,18,81,70
59,32,70,49
16,23,36,45
65,35,45,61
12,10,50,16
6,56,60,73
50,47,49,80
41,24,39,25
60,27,9,51
61,40,44,46
28,81,5,19
8,31,68,13
30,32,29,45
49,19,52,60
62,38,29,50
54,4,30,18
75,82,81,42
77,38,29,66
32,72,15,65
71,74,55,46
35,68,9,62
81,39,33,1
77,27,10,60
63,50,2,39
28,56,79,70
59,69,48,1
61,10,55,63
11,18,14,17
11,1,49,42
79,77,14,30
73,43,19,35
59,54,67,48
12,66,16,54
36,51,55,38
73,15,9,20
4,64,52,56
55,36,28,74
15,58,28,60
14,12,81,29
69,23,66,33
66,71,76,66
10,55,40,58
45,26,31,17
75,25,6,78
24,59,1,81
11,18,41,57
48,73,47,53
19,4,39,43
10,31,53,54
57,33,78,27
56,74,43,38
37,13,12,65
27,80,7,3
64,37,52,53
11,57,31,77
13,10,23,21
23,65,57,50
5,80,3,61
46,43,69,71
58,36,53,45
21,22,61,78
31,34,38,57
55,26,22,20
80,36,22,36
8,20,41,72
82,40,44,43
34,8,32,57
28,30,17,34
69,31,48,76
59,7,69,58
41,52,16,63
67,31,62,79
47,75,77,22
26,2,51,62
82,42,43,1
77,3,38,2
70,64,33,5
58,51,63,3
6,45,2,74
79,24,59,67
35,64,19,34
62,3,21,16
20,4,82,49
64,71,1,28
42,52,14,21
79,75,17,51
18,61,30,7
28,79,82,9
37,6,64,20
65,25,80,48
49,60,5,47
3,43,56,70
34,14,53,78
35,39,2,74
61,42,62,24
80,32,4,22
68,48,15,6
18,5,58,82
47,14,22,44
32,49,44,57
23,8,62,25
11,34,42,64
51,57,33,69
29,72,65,7
58,68,21,39
76,63,30,46
37,67,65,11
37,47,48,71
17,53,26,37
67,54,44,21
54,46,78,17
8,13,27,12
52,67,77,66
78,72,51,13
2,35,75,70
5,30,46,23
72,25,39,5
76,35,42,27
9,56,76,37
19,82,13,78
72,16,4,46
71,15,12,68
4,6,8,24
20,40,7,21
575
