27,15,110,35,98,14
11,42,17,117,68,138
7,80,42,32,111,86
133,85,25,103,71,107
134,114,47,28,123,95
111,63,135,15,70,123
137,143,36,24,62,138
36,38,1,3,18,26
91,29,17,23,22,55
93,14,137,42,13,130
131,134,56,131,10,13
11,40,14,25,11,23
122,98,142,102,60,104
140,130,132,11,52,131
3,139,3,2,100,133
65,30,84,78,140,21
140,118,95,33,111,133
66,129,139,30,127,61
141,42,4,69,8,133
55,40,91,27,111,6
17,49,72,135,86,136
137,12,10,14,41,4
79,26,61,27,120,49
141,19,134,130,9,95
92,33,17,40,60,132
5,114,120,55,110,19
131,141,37,43,40,114
68,52,133,10,50,140
22,134,80,71,35,26
111,80,26,17,94,40
9,140,96,8,75,32
8,39,3,53,107,66
79,142,68,108,19,61
80,140,22,25,79,29
47,9,137,102,57,13
73,10,139,118,127,24
38,128,25,7,89,68
14,65,28,23,138,113
83,49,24,5,39,135
106,67,4,121,24,48
106,8,3,33,65,124
117,121,139,75,74,42
29,90,132,57,105,63
123,101,135,136,133,4
13,9,77,4,20,115
136,82,15,90,20,16
127,82,25,97,124,3
90,135,83,32,136,5
88,22,11,81,27,20
18,64,82,4,81,53
3,47,54,51,23,31
138,141,18,26,117,47
92,130,85,65,24,62
123,15,4,76,82,39
19,12,50,92,130,67
7,40,117,52,21,7
91,36,8,111,52,10
17,115,9,87,89,87
113,6,51,134,24,69
79,26,76,101,33,91
43,41,121,36,102,5
23,108,114,128,25,26
94,53,78,18,52,57
32,114,135,93,126,6
8,132,117,116,118,20
30,124,60,56,73,39
15,50,9,41,81,3
125,18,35,18,138,12
50,83,71,66,114,34
87,71,124,143,12,37
57,139,49,37,122,74
19,70,6,127,57,24
97,11,21,76,37,127
5,71,12,39,111,11
55,5,54,22,54,70
117,112,55,123,69,141
112,125,121,112,53,109
52,13,6,18,27,115
140,19,5,56,73,100
75,41,115,70,29,44
53,47,3,4,93,133
7,70,25,139,32,27
107,47,132,55,25,44
35,79,75,22,13,37
36,143,85,128,111,82
8,120,50,55,116,73
122,22,57,24,92,142
8,57,64,7,38,120
38,85,73,104,46,5
14,89,77,9,7,9
8,76,140,6,66,140
6,34,70,12,61,97
134,40,100,16,23,53
67,56,131,7,51,32
126,68,125,26,127,42
81,71,84,15,23,73
53,6,78,32,33,67
76,134,87,1,74,67
10,73,57,83,51,73
49,103,69,56,109,81
41,128,58,78,8,84
7,38,44,54,21,99
88,78,101,23,29,8
69,96,74,56,97,24
80,117,74,78,58,46
44,80,54,80,75,122
52,84,49,76,63,78
56,86,43,69,29,9
42,22,86,89,124,132
57,70,137,121,17,44
90,40,70,87,32,66
36,82,59,80,55,45
50,84,72,71,69,116
95,10,54,96,65,112
50,2,6,69,50,106
